Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",0.8125,Fruits and Fruit Juices,1,Low
"Mushroom, portabella",2.75,Vegetables and Vegetable Products,1,Low
"Mushroom, king oyster",2.40625,Vegetables and Vegetable Products,1,Low
"Mushroom, enoki",2.416875,Vegetables and Vegetable Products,1,Low
"Mushroom, crimini",3.09375,Vegetables and Vegetable Products,1,Low
"Mushroom, maitake",2.203125,Vegetables and Vegetable Products,1,Low
"Mushroom, beech",2.18,Vegetables and Vegetable Products,1,Low
"Mushroom, pioppini",3.5,Vegetables and Vegetable Products,1,Low
"Soy milk, sweetened, plain, refrigerated",2.776875,Legumes and Legume Products,1,Low
"Almond milk, unsweetened, plain, refrigerated",0.65625,Beverages,1,Low
"Oat milk, unsweetened, plain, refrigerated",0.796875,Beverages,1,Low
"Carrots, mature, raw",0.94125,Vegetables and Vegetable Products,1,Low
"Carrots, baby, raw",0.805,Vegetables and Vegetable Products,1,Low
"Peppers, bell, green, raw",0.715,Vegetables and Vegetable Products,1,Low
"Peppers, bell, yellow, raw",0.819375,Vegetables and Vegetable Products,1,Low
"Peppers, bell, red, raw",0.895625,Vegetables and Vegetable Products,1,Low
"Peppers, bell, orange, raw",0.881875,Vegetables and Vegetable Products,1,Low
"Buttermilk, low fat",3.464978,Dairy and Egg Products,1,Low
"Yogurt, plain, whole milk",3.824172,Dairy and Egg Products,1,Low
"Yogurt, Greek, plain, whole milk",8.77888,Dairy and Egg Products,1,Low
"Cheese, parmesan, grated, refrigerated",30.13912,Dairy and Egg Products,0,Medium
"Cheese, feta, whole milk, crumbled",19.70782,Dairy and Egg Products,0,Medium
"Flour, almond",26.24375,Nut and Seed Products,0,Medium
"Flour, oat, whole grain",13.16875,Cereal Grains and Pasta,1,Low
"Flour, potato",8.1125,Vegetables and Vegetable Products,1,Low
"Peanut butter, creamy",23.99124,Legumes and Legume Products,0,Medium
"Sesame butter, creamy",19.7054,Nut and Seed Products,0,Medium
"Almond butter, creamy",20.78734,Nut and Seed Products,0,Medium
"Flaxseed, ground",18.0359,Nut and Seed Products,0,Medium
"Strawberries, raw",0.640625,Fruits and Fruit Juices,1,Low
"Raspberries, raw",1.008125,Fruits and Fruit Juices,1,Low
"Blueberries, raw",0.703125,Fruits and Fruit Juices,1,Low
"Grapes, red, seedless, raw",0.914375,Fruits and Fruit Juices,1,Low
"Grapes, green, seedless, raw",0.89875,Fruits and Fruit Juices,1,Low
"Applesauce, unsweetened, with added vitamin C",0.2734375,Fruits and Fruit Juices,1,Low
"Cottage cheese, full fat, large or small curd",11.62436,Dairy and Egg Products,1,Low
"Cream cheese, full fat, block",5.78985,Dairy and Egg Products,1,Low
"Cream, heavy",2.017994,Dairy and Egg Products,1,Low
"Cream, sour, full fat",3.070694,Dairy and Egg Products,1,Low
"Lettuce, iceberg, raw",0.7425,Vegetables and Vegetable Products,1,Low
"Lettuce, romaine, green, raw",0.976875,Vegetables and Vegetable Products,1,Low
"Lettuce, leaf, red, raw",0.883125,Vegetables and Vegetable Products,1,Low
"Lettuce, leaf, green, raw",1.09375,Vegetables and Vegetable Products,1,Low
"Nuts, pine nuts, raw",15.7039,Nut and Seed Products,0,Medium
"Nuts, almonds, whole, raw",21.45038,Nut and Seed Products,0,Medium
"Nuts, walnuts, English, halves, raw",14.5644,Nut and Seed Products,0,Medium
"Nuts, pecans, halves, raw",9.9587,Nut and Seed Products,1,Low
"Oats, whole grain, rolled, old fashioned",13.49645,Cereal Grains and Pasta,1,Low
"Oats, whole grain, steel cut",12.51118,Cereal Grains and Pasta,1,Low
"Pineapple, raw",0.4609375,Fruits and Fruit Juices,1,Low
"Cherries, sweet, dark red, raw",1.039375,Fruits and Fruit Juices,1,Low
"Beans, snap, green, raw",1.96875,Vegetables and Vegetable Products,1,Low
"Potatoes, russet, without skin, raw",2.27375,Vegetables and Vegetable Products,1,Low
"Potatoes, red, without skin, raw",2.0625,Vegetables and Vegetable Products,1,Low
"Potatoes, gold, without skin, raw",1.8125,Vegetables and Vegetable Products,1,Low
"Sweet potatoes, orange flesh, without skin, raw",1.578125,Vegetables and Vegetable Products,1,Low
"Celery, raw",0.4921875,Vegetables and Vegetable Products,1,Low
"Cucumber, with peel, raw",0.625,Vegetables and Vegetable Products,1,Low
"Cabbage, green, raw",0.96125,Vegetables and Vegetable Products,1,Low
"Cabbage, red, raw",1.2425,Vegetables and Vegetable Products,1,Low
"Strawberries, raw",0.640625,Fruits and Fruit Juices,1,Low
"Raspberries, raw",1.008125,Fruits and Fruit Juices,1,Low
"Blueberries, raw",0.703125,Fruits and Fruit Juices,1,Low
"Grapes, red, seedless, raw",0.914375,Fruits and Fruit Juices,1,Low
"Grapes, green, seedless, raw",0.89875,Fruits and Fruit Juices,1,Low
"Applesauce, unsweetened, with added vitamin C",0.2734375,Fruits and Fruit Juices,1,Low
"Flour, amaranth",13.2093,Cereal Grains and Pasta,1,Low
"Flour, quinoa",11.92235,Cereal Grains and Pasta,1,Low
"Flour, sorghum",8.27277,Cereal Grains and Pasta,1,Low
"Flour, buckwheat",8.88492,Cereal Grains and Pasta,1,Low
"Flour, rye",8.3952,Cereal Grains and Pasta,1,Low
"Flour, barley",8.72168,Cereal Grains and Pasta,1,Low
"Flour, cassava",0.918225,Vegetables and Vegetable Products,1,Low
"Buckwheat, whole grain",11.06534,Cereal Grains and Pasta,1,Low
"Millet, whole grain",10.02177,Cereal Grains and Pasta,1,Low
"Rice, brown, long grain, unenriched, raw",7.25305,Cereal Grains and Pasta,1,Low
"Rice, white, long grain, unenriched, raw",7.03885,Cereal Grains and Pasta,1,Low
"Beef, ground, 90% lean meat / 10% fat, raw",18.15625,Beef Products,0,Medium
"Beef, ground, 80% lean meat / 20% fat, raw",17.53125,Beef Products,0,Medium
"Pork, ground, raw",17.80625,Pork Products,0,Medium
"Chicken, ground, with additives, raw",17.9125,Poultry Products,0,Medium
"Turkey, ground, 93% lean/ 7% fat, raw",17.34375,Poultry Products,0,Medium
"Nuts, brazilnuts, raw",15.03684,Nut and Seed Products,0,Medium
"Nuts, cashew nuts, raw",17.4423,Nut and Seed Products,0,Medium
"Nuts, hazelnuts or filberts, raw",13.4938,Nut and Seed Products,1,Low
"Peanuts, raw",23.205,Legumes and Legume Products,0,Medium
"Flour, chestnut",5.28675,Nut and Seed Products,1,Low
"Nuts, macadamia nuts, raw",7.7857,Nut and Seed Products,1,Low
"Nuts, pistachio nuts, raw",20.5057,Nut and Seed Products,0,Medium
"Seeds, pumpkin seeds (pepitas), raw",29.9079,Nut and Seed Products,0,Medium
"Seeds, sunflower seed, kernel, raw",18.8733,Nut and Seed Products,0,Medium
"Flour, coconut",16.1385,Nut and Seed Products,0,Medium
"Beans, cannellini, dry",21.5625,Legumes and Legume Products,0,Medium
"Chickpeas, (garbanzo beans, bengal gram), dry",21.275,Legumes and Legume Products,0,Medium
"Lentils, dry",23.56875,Legumes and Legume Products,0,Medium
"Blackeye pea, dry",21.225,Legumes and Legume Products,0,Medium
"Beans, black, canned, sodium added, drained and rinsed",6.9125,Legumes and Legume Products,1,Low
"Beans, navy, canned, sodium added, drained and rinsed",6.56875,Legumes and Legume Products,1,Low
"Beans, cannellini, canned, sodium added, drained and rinsed",7.4125,Legumes and Legume Products,1,Low
"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed",7.01875,Legumes and Legume Products,1,Low
"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed",7.8,Legumes and Legume Products,1,Low
"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed",7.30625,Legumes and Legume Products,1,Low
"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",4.734375,Vegetables and Vegetable Products,1,Low
"Beans, pinto, canned, sodium added, drained and rinsed",6.69375,Legumes and Legume Products,1,Low
"Blackeye pea, canned, sodium added, drained and rinsed",6.925,Legumes and Legume Products,1,Low
"Beans, great northern, canned, sodium added, drained and rinsed",7.03125,Legumes and Legume Products,1,Low
"Pork, loin, boneless, raw",21.11875,Pork Products,0,Medium
"Pork, loin, tenderloin, boneless, raw",21.58125,Pork Products,0,Medium
"Chicken, breast, boneless, skinless, raw",22.525,Poultry Products,0,Medium
"Chicken, thigh, boneless, skinless, raw",18.6125,Poultry Products,0,Medium
"Beef, ribeye, steak, boneless, choice, raw",18.74375,Beef Products,0,Medium
"Beef, round, top round, boneless, choice, raw",21.475,Beef Products,0,Medium
"Beef, chuck, roast, boneless, choice, raw",18.4,Beef Products,0,Medium
"Beef, flank, steak, boneless, choice, raw",20.13125,Beef Products,0,Medium
"Yogurt, plain, nonfat",4.22675,Dairy and Egg Products,1,Low
"Cheese, monterey jack, solid",22.6171,Dairy and Egg Products,0,Medium
"Cheese, pasteurized process cheese food or product, American, singles",15.5672,Dairy and Egg Products,0,Medium
"Cheese, provolone, sliced",23.45288,Dairy and Egg Products,0,Medium
"Cheese, oaxaca, solid",22.14498,Dairy and Egg Products,0,Medium
"Cheese, queso fresco, solid",18.8848,Dairy and Egg Products,0,Medium
"Cheese, cotija, solid",23.83568,Dairy and Egg Products,0,Medium
"Fish, salmon, sockeye, wild caught, raw",22.3,Finfish and Shellfish Products,0,Medium
"Fish, salmon, Atlantic, farm raised, raw",20.31875,Finfish and Shellfish Products,0,Medium
"Fish, tilapia, farm raised, raw",19.0,Finfish and Shellfish Products,0,Medium
"Crustaceans, shrimp, farm raised, raw",15.56875,Finfish and Shellfish Products,0,Medium
"Fish, cod, Atlantic, wild caught, raw",16.06875,Finfish and Shellfish Products,0,Medium
"Fish, catfish, farm raised, raw",16.46875,Finfish and Shellfish Products,0,Medium
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",18.65,Finfish and Shellfish Products,0,Medium
"Squash, summer, green, zucchini, includes skin, raw",0.984375,Vegetables and Vegetable Products,1,Low
"Squash, summer, yellow, includes skin, raw",0.890625,Vegetables and Vegetable Products,1,Low
"Squash, winter, butternut, raw",1.14875,Vegetables and Vegetable Products,1,Low
"Squash, winter, acorn, raw",1.25,Vegetables and Vegetable Products,1,Low
"Cabbage, bok choy, raw",1.02375,Vegetables and Vegetable Products,1,Low
"Cauliflower, raw",1.640625,Vegetables and Vegetable Products,1,Low
"Collards, raw",2.96875,Vegetables and Vegetable Products,1,Low
"Brussels sprouts, raw",3.984375,Vegetables and Vegetable Products,1,Low
"Beets, raw",1.6875,Vegetables and Vegetable Products,1,Low
"Eggplant, raw",0.851875,Vegetables and Vegetable Products,1,Low
"Tomatoes, whole, canned, solids and liquids, with salt added",0.8675,Vegetables and Vegetable Products,1,Low
"Tomato, sauce, canned, with salt added",1.351875,Vegetables and Vegetable Products,1,Low
"Tomato, paste, canned, without salt added",4.234375,Vegetables and Vegetable Products,1,Low
"Tomatoes, crushed, canned",1.4375,Vegetables and Vegetable Products,1,Low
"Tomato, puree, canned",1.578125,Vegetables and Vegetable Products,1,Low
"Apricot, with skin, raw",0.96125,Fruits and Fruit Juices,1,Low
"Melons, honeydew, raw",0.53125,Fruits and Fruit Juices,1,Low
"Plantains, ripe, raw",1.15625,Fruits and Fruit Juices,1,Low
"Plantains, underripe, raw",1.229375,Fruits and Fruit Juices,1,Low
"Chia seeds, dry, raw",17.013,Cereal Grains and Pasta,0,Medium
"Bulgur, dry, raw",11.75625,Cereal Grains and Pasta,1,Low
"Wild rice, dry, raw",12.7875,Cereal Grains and Pasta,1,Low
"Arugula, baby, raw",1.64875,Vegetables and Vegetable Products,1,Low
"Asparagus, green, raw",1.4375,Vegetables and Vegetable Products,1,Low
"Avocado, Hass, peeled, raw",1.8125,Fruits and Fruit Juices,1,Low
"Rice, black, unenriched, raw",7.56875,Cereal Grains and Pasta,1,Low
"Corn, sweet, yellow and white kernels,  fresh, raw",2.789375,Vegetables and Vegetable Products,1,Low
"Einkorn, grain, dry, raw",15.11719,Cereal Grains and Pasta,0,Medium
"Farro, pearled, dry, raw",12.63944,Cereal Grains and Pasta,1,Low
"Fonio, grain, dry, raw",7.16875,Cereal Grains and Pasta,1,Low
"Khorasan, grain, dry, raw",14.75573,Cereal Grains and Pasta,0,Medium
"Kiwifruit (kiwi), green, peeled, raw",1.008125,Fruits and Fruit Juices,1,Low
"Mandarin, seedless, peeled, raw",1.039375,Fruits and Fruit Juices,1,Low
"Mango, Tommy Atkins, peeled, raw",0.5625,Fruits and Fruit Juices,1,Low
"Mango, Ataulfo, peeled, raw",0.6875,Fruits and Fruit Juices,1,Low
"Corn flour, masa harina, white or yellow, dry, raw",7.5625,Cereal Grains and Pasta,1,Low
"Pear, Anjou, green, with skin, raw",0.3125,Fruits and Fruit Juices,1,Low
"Plum, black, with skin, raw",0.578125,Fruits and Fruit Juices,1,Low
"Rice, red, unenriched, dry, raw",8.5625,Cereal Grains and Pasta,1,Low
"Sorghum bran, white, unenriched, dry, raw",11.16875,Cereal Grains and Pasta,1,Low
"Sorghum flour, white, pearled, unenriched, dry, raw",10.2125,Cereal Grains and Pasta,1,Low
"Sorghum grain, white, pearled, unenriched, dry, raw",10.25,Cereal Grains and Pasta,1,Low
"Sorghum, whole grain, white, dry, raw",10.08125,Cereal Grains and Pasta,1,Low
"Plantains, overripe, raw",1.166875,Fruits and Fruit Juices,1,Low
"Chicken, drumstick, meat and skin, raw",18.35625,Poultry Products,0,Medium
"Chicken, thigh, meat and skin, raw",17.10625,Poultry Products,0,Medium
"Chicken, wing, meat and skin, raw",18.40625,Poultry Products,0,Medium
"Chicken, breast, meat and skin, raw",21.40625,Poultry Products,0,Medium
"Lamb, ground, raw",17.4625,"Lamb, Veal, and Game Products",0,Medium
"Bison, ground, raw",19.88125,"Lamb, Veal, and Game Products",0,Medium
"Beef, short loin (NY strip steak), raw",21.325,Beef Products,0,Medium
"Beef, tenderloin steak, raw",21.09375,Beef Products,0,Medium
"Beef, top sirloin steak, raw",21.975,Beef Products,0,Medium
"Pork, chop, center cut, raw",22.8125,Pork Products,0,Medium
"Pork, belly, with skin, raw",15.2,Pork Products,0,Medium
"Pawpaw, peeled, seeded, raw",1.151875,Fruits and Fruit Juices,1,Low
"Squash, pie pumpkin, peeled, seeded, raw",0.854375,Vegetables and Vegetable Products,1,Low
"Squash, spaghetti, peeled, seeded, raw",0.791875,Vegetables and Vegetable Products,1,Low
"Rutabaga, peeled, raw",0.8875,Vegetables and Vegetable Products,1,Low
"Blackberries, raw",1.52625,Fruits and Fruit Juices,1,Low
"Tomatillos, dehusked, raw",1.064375,Vegetables and Vegetable Products,1,Low
"Cabbage, napa, leaf, destemmed, raw",1.06375,Vegetables and Vegetable Products,1,Low
"Leeks, bulb and greens, root removed, raw",1.4675,Vegetables and Vegetable Products,1,Low
"Green onion, (scallion), bulb and greens, root removed, raw",0.66875,Vegetables and Vegetable Products,1,Low
"Shallots, bulb, peeled, root removed, raw",1.3775,Vegetables and Vegetable Products,1,Low
"Juice, prune, shelf-stable",0.422625,Fruits and Fruit Juices,1,Low
"Juice, pomegranate, from concentrate, shelf-stable",0.0,Fruits and Fruit Juices,1,Low
"Juice, tart cherry, from concentrate, shelf-stable",0.1465625,Fruits and Fruit Juices,1,Low
