Food Name,Protein (g),Category,Protein_Cluster,Protein_Level
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 11, select",28.8,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 16, select",29.1,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 17, select",26.5,Beef Products,0,Medium
"Proximates, Beef, Tenderloin Roast, lean only, cooked, animal 36, select",26.9,Beef Products,0,Medium
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",27.7,Beef Products,0,Medium
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.4,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 5, select",23.8,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 10, select",24.9,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 11, select",23.8,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 16, select",24.2,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 17, select",23.8,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 18, select",24.9,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 22, select",23.6,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 23, select",23.2,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 28, select",22.7,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 29, select",23.9,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 35, select",22.8,Beef Products,0,Medium
"Proximates, Beef, Top Round roast/steak, lean only, raw, animal 36, select",22.2,Beef Products,0,Medium
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",23.7,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 12, upperchoice",27.9,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 1, upperchoice",25.4,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 19, upperchoice",26.3,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 24, upperchoice",27.7,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 25, upperchoice",28.3,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 30, upperchoice",27.0,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 31, upperchoice",27.0,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 32, upperchoice",25.4,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 2, upperchoice",24.6,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 6, upperchoice",28.0,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 7, upperchoice",27.9,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 13, upperchoice",28.2,Beef Products,0,Medium
"Proximates, Beef, T-Bone Steak, lean only, cooked, animal 20, lowerchoice",26.7,Beef Products,0,Medium
